t(+s)   | FIXED (target, scans -wal) | PRE-FIX (.db only)         | live -wal (bytes)      | agy pane (ground truth)
+49.3   | idle agy-conversation      | unknown agy-conversation   | (none)                 | ? for shortcuts                               
+50.0   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+50.6   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+51.2   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+51.7   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+52.2   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+52.7   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+53.3   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+53.8   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+54.3   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+54.9   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+55.4   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+55.9   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+56.4   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+57.0   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+57.5   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+58.0   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+58.5   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+59.1   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
+59.6   | idle agy-conversation      | idle agy-conversation      | 5c0adba1.db-wal:0      | ? for shortcuts                               
